Region,Diesel: (8/10/22 - 8/10/23)
District of Columbia,100
New York,64
Maryland,55
Florida,47
New Jersey,44
California,43
Delaware,41
Nevada,41
Georgia,40
Illinois,38
Hawaii,36
Louisiana,36
Rhode Island,35
Massachusetts,35
Pennsylvania,34
Alaska,31
Connecticut,30
Virginia,30
Texas,30
Alabama,30
Mississippi,30
Vermont,27
Washington,27
New Mexico,26
Arizona,25
Michigan,25
North Carolina,25
Oregon,25
South Carolina,25
Tennessee,24
Missouri,24
Wisconsin,23
New Hampshire,23
Indiana,23
Colorado,22
Ohio,22
Oklahoma,21
Utah,20
West Virginia,20
North Dakota,20
Iowa,19
Minnesota,19
Kentucky,19
Wyoming,19
Arkansas,18
Nebraska,18
Kansas,18
South Dakota,17
Idaho,17
Maine,16
Montana,16
